epoch,train_loss,train_acc,test_loss,test_acc,OA,AA,kappa
1,2.4605058622397453,0.21155347384855583,2.104123681370805,0.35141463414634144,0.3514146341463414,0.12653208390070914,0.20170221053321497
2,1.9509260184498711,0.3618266978922717,1.792164813762758,0.4025365853658537,0.40253658536585357,0.15295787687331122,0.2741125291058221
3,1.7052262484515486,0.38524590163934425,1.5805276707905094,0.43882926829268293,0.4388292682926829,0.17941924250900482,0.3208128257002626
4,1.5259272382186782,0.43169398907103823,1.4293297572252226,0.48760975609756096,0.4876097560975609,0.224021135070119,0.3791877409703681
5,1.4005577803402558,0.49882903981264637,1.296552271075365,0.5389268292682927,0.5389268292682926,0.2966450740730428,0.449977002846641
6,1.2686325943535144,0.5452771272443404,1.2032043688704328,0.5804878048780487,0.5804878048780486,0.38808870275604745,0.4950824062165886
7,1.1864216146201105,0.5891881342701015,1.1138388773290122,0.6273170731707317,0.6273170731707316,0.45927612445785426,0.5627173737456658
8,1.122106502057983,0.6007025761124122,1.0788282447907982,0.6128780487804878,0.6128780487804877,0.47696544973553523,0.5396421822674599
9,1.0754145703029112,0.6114363778298204,1.0501610441905695,0.5925853658536585,0.5925853658536584,0.47390352048680423,0.5287473372302774
10,1.0077107527775284,0.631928181108509,0.9705327041439894,0.6589268292682927,0.6589268292682926,0.5215602480612525,0.599050413887937
11,0.9670552514103778,0.6559328649492584,0.928079984664917,0.6606829268292683,0.6606829268292682,0.519586335861578,0.5977345264292596
12,0.9332261685744382,0.6637392661982826,0.9405380826810511,0.6497560975609756,0.6497560975609755,0.5324598936600845,0.5863749764671656
13,0.8978703839066065,0.6760343481654957,0.8726134870343092,0.6661463414634147,0.6661463414634146,0.5450524546998772,0.6134594807272217
14,0.8655570115920252,0.6854020296643247,0.8141253436949195,0.6997073170731707,0.6997073170731706,0.5599179929329448,0.6481379297969273
15,0.8029972027513219,0.717408274785324,0.7650816948123095,0.7391219512195122,0.7391219512195121,0.5792387384632722,0.7000040103803029
16,0.7266729804661756,0.751951600312256,0.786238374710083,0.6934634146341463,0.6934634146341462,0.5737505663565514,0.6415300606290935
17,0.7493491323547006,0.7287275565964091,0.8685264951194205,0.6663414634146342,0.6663414634146341,0.5271923233834797,0.6011976425568751
