epoch,train_loss,train_acc,test_loss,test_acc,OA,AA,kappa,lr,seconds
1,1.2906501307141307,0.5587431693989071,0.9614139941610941,0.6616585365853659,0.6616585365853659,0.5287800860297689,0.6132803279955495,0.00999983777858264,4.187796115875244
2,0.8449347941415744,0.7027712724434035,0.7207000127420193,0.7537560975609756,0.7537560975609756,0.6863470227903118,0.717583742080588,0.009999351124856873,2.111503839492798
3,0.7182710685016214,0.7466822794691648,0.6062837771206367,0.782829268292683,0.782829268292683,0.7229984037512908,0.7501991706303724,0.009998540070400965,1.347053050994873
4,0.5772688016644406,0.8011319281811085,0.5670701938140683,0.8070243902439025,0.8070243902439025,0.7604431595504577,0.7789591577097219,0.009997404667843074,1.333991289138794
5,0.4853022103194238,0.8368462138953943,0.4482686788745043,0.8394146341463414,0.8394146341463414,0.8034759524454829,0.8147532625231803,0.009995944990857847,1.364196538925171
6,0.42487322227923224,0.8678766588602654,0.47250440595208143,0.8419512195121951,0.8419512195121951,0.8122529522470511,0.820484988263902,0.009994161134161631,1.3451972007751465
7,0.37341143953949096,0.8817330210772834,0.5930294713973999,0.8300487804878048,0.8300487804878048,0.7833686687001459,0.8045524699804066,0.009992053213506331,1.5600817203521729
8,0.29564464051541084,0.9065183450429352,0.49206372067986465,0.8429268292682927,0.8429268292682927,0.8308487349310509,0.8222464447457826,0.0099896213656719,2.4216725826263428
9,0.30415837958914566,0.9121779859484778,0.6764490869684917,0.8029268292682927,0.8033170731707318,0.758227507773187,0.7785612766941146,0.009986865748457455,2.282480478286743
10,0.253224593542871,0.9262295081967213,0.3546822143880332,0.8991219512195122,0.8993170731707317,0.8085937075087734,0.8852842934568755,0.00998378654067105,1.8812963962554932
11,0.22523825132352746,0.942232630757221,0.3252388336600327,0.8979512195121951,0.8981463414634147,0.8265437626214817,0.883421279219251,0.009980383942118063,2.057203769683838
12,0.17778425711457188,0.9570647931303669,0.2706144292703489,0.9190243902439025,0.9190243902439025,0.8517407427868007,0.907312647019628,0.00997665817358824,2.149982452392578
13,0.1629305539803927,0.962919594067135,0.21863409907643389,0.9426341463414634,0.9426341463414634,0.888734535408346,0.9345961027741669,0.009972609476841364,1.8815557956695557
14,0.18611328561472576,0.9523809523809523,0.24150755642681587,0.9258536585365854,0.9260487804878049,0.884233062803626,0.9159995244640047,0.009968238114591563,1.409041404724121
15,0.15404013919958134,0.9654566744730679,0.2326151108087563,0.9342439024390244,0.934829268292683,0.8618500710102261,0.9256607496662279,0.009963544370490266,1.9677109718322754
16,0.11320633921684271,0.9795081967213115,0.18879635618081908,0.9480975609756097,0.9484878048780487,0.8989146652507221,0.9412222283717566,0.009958528549107807,1.6115312576293945
17,0.1200669332382696,0.9781420765027322,0.24784306475592824,0.9299512195121952,0.9299512195121952,0.862397813505484,0.9199777262004983,0.009953190975913644,1.8340933322906494
18,0.1572961108271937,0.962919594067135,0.23863312750909388,0.9270243902439025,0.9278048780487805,0.8799948996279392,0.9175673865151242,0.009947531997255253,2.233346700668335
19,0.16014450113943382,0.9633099141295862,0.21561545111493366,0.9424390243902439,0.9428292682926829,0.8858532188848771,0.9348079588883674,0.00994155198033565,1.3768889904022217
